09:03:32.823 [FXGL Launcher Thread     ] DEBUG FXGL                 - FXGL logger initialized
09:03:32.828 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<AudioPlayer>> initialized
09:03:32.829 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Asset cacheSize=35
09:03:32.830 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<AssetLoader>> initialized
09:03:32.831 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<EventBus>> initialized
09:03:32.835 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
09:03:32.864 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/core/notification.wav
09:03:32.894 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/select.wav
09:03:32.896 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/back.wav
09:03:32.898 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/press.wav
09:03:32.901 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/fonts/Copperplate_Gothic_Light_Regular.ttf
09:03:33.016 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/fonts/lucida_console.ttf
09:03:33.091 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/css/fxgl_dark.css
09:03:33.092 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/icons/fxgl_icon.png
09:03:33.115 [FXGL Launcher Thread     ] DEBUG FXGLDisplay          - Using CSS: CSS(externalForm=jar:file:/C:/Users/Administrator/.m2/repository/com/github/almasb/fxgl/0.3.3/fxgl-0.3.3.jar!/assets/ui/css/fxgl_dark.css)
09:03:33.117 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Display>> initialized
09:03:33.119 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Executor>> initialized
09:03:33.130 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<NotificationService>> initialized
09:03:33.131 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Net>> initialized
09:03:33.160 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Gameplay>> initialized
09:03:33.168 [FXGL Launcher Thread     ] DEBUG FXGLPooler           - Default pool size for objects = 128
09:03:33.168 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Pooler>> initialized
09:03:33.169 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<ExceptionHandler>> initialized
09:03:33.169 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<UIFactory>> initialized
09:03:33.169 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<DialogFactory>> initialized
09:03:33.169 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<SceneFactory>> initialized
09:03:33.169 [FXGL Launcher Thread     ] DEBUG FXGL                 - Loading FXGL system data
09:03:33.174 [FXGL Launcher Thread     ] DEBUG IOTask               - Executing task: readDataTask(system/fxgl.bundle)
09:03:33.181 [FXGL Launcher Thread     ] DEBUG FS                   - Reading from: system\fxgl.bundle
09:03:33.194 [FXGL Launcher Thread     ] DEBUG IOTask               - Task succeeded: readDataTask(system/fxgl.bundle)
09:03:33.195 [FXGL Launcher Thread     ] DEBUG Bundle               - Logging bundle: FXGL
09:03:33.195 [FXGL Launcher Thread     ] DEBUG Bundle               - FXGL.offline.timer.version.check=2017-06-05T09:02:58.766
09:03:33.195 [FXGL Launcher Thread     ] DEBUG GameApplication      - FXGL configuration complete
09:03:33.196 [FXGL Launcher Thread     ] INFO  GameApplication      - FXGL configuration took:  1.445 sec
09:03:33.199 [FXGL Launcher Thread     ] DEBUG GameApplication      - Logging game settings
Title: StarShips
Version: 0.0
Width: 800
Height: 600
Fullscreen: false
Intro: true
Menus: true
Profiling: true
App Mode: DEVELOPER
Menu Style: FXGL_DEFAULT
Menu Key: ESCAPE
Services: []
09:03:33.213 [FXGL Launcher Thread     ] DEBUG GameApplication      - Configuring GameApplication
09:03:33.214 [FXGL Launcher Thread     ] DEBUG AppStateMachine      - Initializing application states
09:03:33.218 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
09:03:33.223 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
09:03:33.273 [FXGL Launcher Thread     ] DEBUG GameWorld            - Game world initialized
09:03:33.332 [FXGL Launcher Thread     ] DEBUG PhysicsWorld         - Physics world initialized: appHeight=600, physics.ppm=50.0
09:03:33.345 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
09:03:33.376 [FXGL Launcher Thread     ] DEBUG GameScene            - Game scene initialized: 800x600
09:03:33.394 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
09:03:33.412 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
09:03:33.418 [FXGL Launcher Thread     ] DEBUG Menu                 - createMenuBodyMainMenu()
09:03:33.431 [FXGL Launcher Thread     ] DEBUG Menu                 - createOptionsMenu()
09:03:33.440 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
09:03:33.442 [FXGL Launcher Thread     ] DEBUG Menu                 - createMenuBodyGameMenu()
09:03:33.443 [FXGL Launcher Thread     ] DEBUG Menu                 - createOptionsMenu()
09:03:33.448 [FXGL Launcher Thread     ] INFO  GameApplication      - Game configuration took:  0.235 sec
09:03:33.459 [JavaFX Application Thread] DEBUG FXGLDisplay          - Target size: DoubleProperty [value: 800.0] x DoubleProperty [value: 600.0] @ 1.0
09:03:33.460 [JavaFX Application Thread] DEBUG FXGLDisplay          - New size:    800.0 x 600.0 @ DoubleProperty [value: 1.0]
09:03:33.460 [JavaFX Application Thread] DEBUG FXGLDisplay          - Opening primary stage
09:03:33.482 [JavaFX Application Thread] DEBUG FXGLDisplay          - Stage shown
09:03:33.482 [JavaFX Application Thread] DEBUG FXGLDisplay          - Root size: 800.0x600.0
09:03:33.482 [JavaFX Application Thread] DEBUG FXGLDisplay          - Scene size: 800.0x600.0
09:03:33.482 [JavaFX Application Thread] DEBUG FXGLDisplay          - Stage size: 816.0x638.0
09:03:33.508 [JavaFX Application Thread] DEBUG GameApplication      - Running preInit()
09:03:33.542 [JavaFX Application Thread] DEBUG Input                - Registered new binding: Screenshot - P
09:03:33.542 [JavaFX Application Thread] DEBUG Input                - Registered new binding: Dev Options - CTRL+0
09:03:33.543 [JavaFX Application Thread] DEBUG MenuEventHandler     - generateDefaultProfile()
09:03:33.544 [JavaFX Application Thread] DEBUG MenuEventHandler     - Creating default profile
09:03:33.544 [JavaFX Application Thread] DEBUG FXGLEventBus         - Firing event: SaveEvent
09:03:33.546 [JavaFX Application Thread] DEBUG FXGLAudioPlayer      - Saving data to profile
09:03:33.546 [JavaFX Application Thread] DEBUG Bundle               - Logging bundle: audio
09:03:33.546 [JavaFX Application Thread] DEBUG Bundle               - audio.musicVolume=0.5
09:03:33.546 [JavaFX Application Thread] DEBUG Bundle               - audio.soundVolume=0.5
09:03:33.546 [JavaFX Application Thread] DEBUG FXGLDisplay          - Saving data to profile
09:03:33.546 [JavaFX Application Thread] DEBUG Bundle               - Logging bundle: scene
09:03:33.546 [JavaFX Application Thread] DEBUG Bundle               - scene.sizeW=800.0
09:03:33.546 [JavaFX Application Thread] DEBUG Bundle               - scene.sizeH=600.0
09:03:33.546 [JavaFX Application Thread] DEBUG Input                - Saving data to profile
09:03:33.547 [JavaFX Application Thread] DEBUG Bundle               - Logging bundle: input
09:03:33.547 [JavaFX Application Thread] DEBUG Bundle               - input.Screenshot=P
09:03:33.547 [JavaFX Application Thread] DEBUG Bundle               - input.Dev Options=CTRL+0
09:03:33.547 [JavaFX Application Thread] DEBUG AchievementManager   - Saving data to profile
09:03:33.547 [JavaFX Application Thread] DEBUG Bundle               - Logging bundle: achievement
09:03:33.634 [JavaFX Application Thread] DEBUG GameApplication      - Starting main loop
09:03:33.637 [JavaFX Application Thread] DEBUG StartupState         - STARTUP
09:03:33.638 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:33.638 [JavaFX Application Thread] DEBUG AppStateMachine      - StartupState -> IntroState
09:03:39.160 [JavaFX Application Thread] DEBUG FXGLEventBus         - Firing event: IntroFinishedEvent
09:03:39.160 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:39.160 [JavaFX Application Thread] DEBUG AppStateMachine      - IntroState -> MainMenuState
09:03:39.182 [JavaFX Application Thread] DEBUG SaveLoadManager      - Checking profiles dir: profiles/
09:03:39.182 [JavaFX Application Thread] DEBUG SaveLoadManager      - Loading profile names
09:03:39.184 [JavaFX Application Thread] DEBUG IOTask               - Showing dialog
09:03:39.189 [JavaFX Application Thread] DEBUG AppStateMachine      - Push state: DialogSubState
09:03:39.189 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:39.189 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState -> DialogSubState
09:03:39.205 [FXGL Background Thread 1 ] DEBUG IOTask               - Executing task: loadDirectoryNamesTask(./profiles/, false)
09:03:39.306 [JavaFX Application Thread] DEBUG IOTask               - succeed(): Dismissing dialog
09:03:39.307 [JavaFX Application Thread] DEBUG AppStateMachine      - Pop state: DialogSubState
09:03:39.307 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:39.307 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState <- DialogSubState
09:03:39.307 [JavaFX Application Thread] DEBUG IOTask               - Task succeeded: loadDirectoryNamesTask(./profiles/, false)
09:03:39.312 [JavaFX Application Thread] DEBUG AppStateMachine      - Push state: DialogSubState
09:03:39.312 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:39.312 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState -> DialogSubState
09:03:43.605 [JavaFX Application Thread] DEBUG AppStateMachine      - Pop state: DialogSubState
09:03:43.605 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:43.605 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState <- DialogSubState
09:03:43.607 [JavaFX Application Thread] DEBUG SaveLoadManager      - Deleting profile: cam
09:03:43.608 [JavaFX Application Thread] DEBUG IOTask               - Showing dialog
09:03:43.610 [JavaFX Application Thread] DEBUG AppStateMachine      - Push state: DialogSubState
09:03:43.610 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:43.611 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState -> DialogSubState
09:03:43.612 [FXGL Background Thread 1 ] DEBUG IOTask               - Executing task: deleteDirectoryTask(./profiles/cam)
09:03:43.615 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting file: .\profiles\cam\saves\Readme.txt
09:03:43.617 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting directory: .\profiles\cam\saves
09:03:43.618 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting file: .\profiles\cam\user.profile
09:03:43.620 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting directory: .\profiles\cam
09:03:43.631 [JavaFX Application Thread] DEBUG IOTask               - succeed(): Dismissing dialog
09:03:43.633 [JavaFX Application Thread] DEBUG AppStateMachine      - Pop state: DialogSubState
09:03:43.633 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:43.633 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState <- DialogSubState
09:03:43.633 [JavaFX Application Thread] DEBUG IOTask               - Task succeeded: deleteDirectoryTask(./profiles/cam)
09:03:43.634 [JavaFX Application Thread] DEBUG SaveLoadManager      - Loading profile names
09:03:43.634 [JavaFX Application Thread] DEBUG IOTask               - Showing dialog
09:03:43.635 [JavaFX Application Thread] DEBUG AppStateMachine      - Push state: DialogSubState
09:03:43.635 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:43.635 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState -> DialogSubState
09:03:43.637 [FXGL Background Thread 1 ] DEBUG IOTask               - Executing task: loadDirectoryNamesTask(./profiles/, false)
09:03:43.640 [JavaFX Application Thread] DEBUG IOTask               - succeed(): Dismissing dialog
09:03:43.640 [JavaFX Application Thread] DEBUG AppStateMachine      - Pop state: DialogSubState
09:03:43.640 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:43.640 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState <- DialogSubState
09:03:43.641 [JavaFX Application Thread] DEBUG IOTask               - Task succeeded: loadDirectoryNamesTask(./profiles/, false)
09:03:43.643 [JavaFX Application Thread] DEBUG AppStateMachine      - Push state: DialogSubState
09:03:43.644 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:43.644 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState -> DialogSubState
09:03:44.205 [JavaFX Application Thread] DEBUG AppStateMachine      - Pop state: DialogSubState
09:03:44.205 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:44.205 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState <- DialogSubState
09:03:44.206 [JavaFX Application Thread] DEBUG SaveLoadManager      - Deleting profile: uuu
09:03:44.206 [JavaFX Application Thread] DEBUG IOTask               - Showing dialog
09:03:44.208 [JavaFX Application Thread] DEBUG AppStateMachine      - Push state: DialogSubState
09:03:44.208 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
09:03:44.208 [JavaFX Application Thread] DEBUG AppStateMachine      - MainMenuState -> DialogSubState
09:03:44.210 [FXGL Background Thread 1 ] DEBUG IOTask               - Executing task: deleteDirectoryTask(./profiles/uuu)
09:03:44.210 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting file: .\profiles\uuu\saves\Readme.txt
09:03:44.212 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting directory: .\profiles\uuu\saves
09:03:44.213 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting file: .\profiles\uuu\user.profile
09:03:44.215 [FXGL Background Thread 1 ] DEBUG FS                   - Deleting directory: .\profiles\uuu
09:03:44.216 [JavaFX Application Thread] DEBUG IOTask               - succeed(): Dismissing dialog
